image_name,labels,transcriptions
394.jpg,Not-Misogyny,当事人 当时就是想吃，非常想吃
580.jpg,Not-Misogyny,我司雇我在
25.jpg,Not-Misogyny,好棒！ 拒绝加班
212.jpg,Misogyny,你不结婚我都睡不着 那就醒着 还能熬成国宝
1310.jpg,Not-Misogyny,上桌吃饭
998.jpg,Misogyny,出去上班说你不带娃 在家带娃说你不上班挣钱
537.jpg,Not-Misogyny,过年好
1118.jpg,Not-Misogyny,超级珍视自己的感受 勇敢离开让自己感到内耗的人和事
1104.jpg,Not-Misogyny,做不了找别人吧
86.jpg,Not-Misogyny,谢谢老板 实在吃不下了
1531.jpg,Not-Misogyny,早上好！让我看看是谁还没起床！
273.jpg,Misogyny,你不结婚我晚上都睡不着觉 那我就给您找个夜班上上
1235.jpg,Misogyny,你明白 我宠你嘛 NMB WCNM
1001.jpg,Misogyny,隔壁都二胎了
837.jpg,Misogyny,你什么你 你妈了个逼
1533.jpg,Misogyny,不生孩子你以后会后悔的 我后悔了可以领养 你后悔了可以塞回去吗
631.jpg,Not-Misogyny,给您拜年啦！
1643.jpg,Not-Misogyny,走一步算一步 STOP 实在不行死半路
1587.jpg,Not-Misogyny,贪吃蛇
1166.jpg,Not-Misogyny,如果鲁宾逊漂流到中国他就有两个星期五了
945.jpg,Not-Misogyny,大不了去死
506.jpg,Not-Misogyny,福
274.jpg,Misogyny,家里有孩子才热闹 咱俩现在吵一架不就热闹了
918.jpg,Misogyny,CNM 你个SB NMB 素质三连
1122.jpg,Not-Misogyny,你的小花招 成功引起了我的注意
363.jpg,Not-Misogyny,今天未读洋鬼子文献 请祖国放心
1374.jpg,Misogyny,科二都能挂了，怕生个孩子也能挂了 挂科的微笑 我混油皮，不适合生孩子
623.jpg,Not-Misogyny,好棒！ 准时上班
3.jpg,Misogyny,怎么还不生孩子？ 你还没投胎
7.jpg,Misogyny,只因为我是姐姐 我就要学会“牺牲” 但其实我也想有自己的人生 我今天很忙，没空辅导弟弟了 连弟弟都不肯帮，你可真冷血
312.jpg,Misogyny,滚你妈逼
1252.jpg,Not-Misogyny,有事直说 反正我也帮不了你
839.jpg,Not-Misogyny,些微有点晕字
666.jpg,Not-Misogyny,很内向 在工位都不敢学习
365.jpg,Not-Misogyny,这是蟠桃 这是黄桃 这是丫头你别想桃
1676.jpg,Misogyny,我去你妈逼
216.jpg,Not-Misogyny,过年好 过年好
868.jpg,Not-Misogyny,请雇我打工
28.jpg,Not-Misogyny,把不学习的都抓起来！——上岸村委会宣
1221.jpg,Not-Misogyny,蛇来运转
526.jpg,Not-Misogyny,等老娘练好就去干你
1556.jpg,Not-Misogyny,无所谓 晚上我会啃床
858.jpg,Not-Misogyny,一无所有不好吗
639.jpg,Misogyny,"操你媽逼（-30%） 操你妈逼 購買操你媽逼（-30%）组合包 -30%-55% 加入購物車 NTS1,513"
1051.jpg,Misogyny,爸妈又来催婚了 但我已经不烦了
719.jpg,Not-Misogyny,工作do了吗？ 你啰嗦了
692.jpg,Not-Misogyny,这我学过？
1335.jpg,Not-Misogyny,我有密集恐惧症 不能接近心眼子太多的人
625.jpg,Not-Misogyny,小狗给你力量 得到小狗力量的人都会 考试顺利 一飞冲天
8.jpg,Not-Misogyny,坚持住 忙完这阵子 就可以忙下一阵子了
257.jpg,Not-Misogyny,我有力量度过任何难关
804.jpg,Misogyny,头发长见识短，当初怎么就让你进门了呢 我见识短，您眼光高，这不才让我有机会进门么
26.jpg,Misogyny,为什么不生孩子？ 我有案底 峡谷里杀过太多人 生不了
337.jpg,Not-Misogyny,真油你的
573.jpg,Not-Misogyny,咩事?
48.jpg,Not-Misogyny,周五周五 眉飞色舞
1413.jpg,Misogyny,不生二胎 不旺夫 不伺候老公 不孝敬公婆
107.jpg,Misogyny,如果我晚婚有罪 请让法律制裁我 别当着我的面说我眼光高 背后又说我嫁不出去
350.jpg,Not-Misogyny,精神涣散
56.jpg,Not-Misogyny,成功女人第二步 只谈钱不谈感情
239.jpg,Misogyny,你参加婚礼看着别人结婚没啥想法啊？ 有啊，什么时候上菜
214.jpg,Not-Misogyny,你不行 谁行？
121.jpg,Not-Misogyny,我真厉害
1572.jpg,Misogyny,朋友：我都生了 你赶紧生 我： 我宫寒生不了呢
1318.jpg,Not-Misogyny,谢谢你 一路陪我到这里
794.jpg,Not-Misogyny,说我不合群 你没有迎合他不随大流
73.jpg,Not-Misogyny,按下骂人开关
813.jpg,Not-Misogyny,摇钱树怎么种 shake money tree
1469.jpg,Not-Misogyny,天天打工天天愁 天天加班像只猴
1608.jpg,Not-Misogyny,鼠了
915.jpg,Not-Misogyny,好笑吗
46.jpg,Not-Misogyny,老板说团建都有一劫 神仙公司团建：仪式感 牛马公司团建：无感 ...这对吗？可为什么人家公司 团建是音乐节
1426.jpg,Not-Misogyny,你超蒂
524.jpg,Not-Misogyny,两手空空心事重重
233.jpg,Misogyny,宫寒，还在在里面会冻坏 拿捏 不是不生，是调生，调到下辈子生
1579.jpg,Not-Misogyny,生死难料 先睡一觉
1248.jpg,Not-Misogyny,别跟我说话 我有洁癖
1284.jpg,Misogyny,CNM比心情
1424.jpg,Misogyny,你明白，我宠你嘛 NMB WCNM
534.jpg,Not-Misogyny,怎么肥柿
1138.jpg,Not-Misogyny,我是色盲 看不懂别人脸色
1285.jpg,Not-Misogyny,我这生活清汤寡水的 嘴巴毒一点怎么了
604.jpg,Misogyny,没人要的老女人
466.jpg,Misogyny,孩子带的好功劳不是你的 把孩子带好是你应该的
1275.jpg,Not-Misogyny,对我有欲望也是人之常情
789.jpg,Not-Misogyny,我的精神状态 finalweek 我
1442.jpg,Not-Misogyny,在做了在做了！！！
1270.jpg,Not-Misogyny,据我所知 我一无所知啊
1112.jpg,Not-Misogyny,明天开始减，先把这碗吃了
61.jpg,Misogyny,只因为我是姐姐 我就要“乖巧” 但为什么邻居家的哥哥不需要做家务呢？ 作为长女，你今天帮忙做饭，洗碗，帮弟弟泡奶粉
1080.jpg,Misogyny,过年的语言艺术催生二胎篇 今年由由上幼儿园了 就赶紧再生一个吧 不是房贷就是车贷没有时间研究下一代
93.jpg,Not-Misogyny,今日人设 脾气不太好的那女的
667.jpg,Misogyny,怎么还不生我了？ 我是i人，不想生不认识的人
894.jpg,Misogyny,你猫杯nmb
1678.jpg,Not-Misogyny,加班是一种 高级的趣味
195.jpg,Misogyny,哈哈他妈了b的
281.jpg,Not-Misogyny,活着又好像死了
696.jpg,Misogyny,生小孩 什么时候生小孩 早生对身体好 还不生孩子
360.jpg,Not-Misogyny,给朋友的备注： 卖粪的 (myfriend)
520.jpg,Not-Misogyny,感觉好累 有种不吃不喝 赶了七天工结果 成果是别人的无力感
1246.jpg,Not-Misogyny,摸了摸自己 发现硬硬的 原来是死了
1334.jpg,Not-Misogyny,知识的芬芳与温柔的力量 我都拥有
848.jpg,Misogyny,爸妈：你老了生病了 身边一个人都没有咋办？ 我：小病就治，大病等死
183.jpg,Not-Misogyny,如果晚上不准吃东西 那为什么冰箱里有灯
1161.jpg,Misogyny,他们说： 你头发这么短 没有女人味
1171.jpg,Not-Misogyny,不开任何玩笑 我现在真的觉得我已经精疲力尽了
111.jpg,Not-Misogyny,哈哈
1150.jpg,Not-Misogyny,你 就你！逢考必过
1047.jpg,Misogyny,你不生孩子 死了谁记得你呀 你太奶奶叫什么你记得吗
43.jpg,Not-Misogyny,鸭头 眼神是不会骗人的
747.jpg,Not-Misogyny,苦涩 ...挺好
126.jpg,Not-Misogyny,聪明不绝顶
205.jpg,Not-Misogyny,祝妳永远是自己
1206.jpg,Not-Misogyny,不论发生什么 都坚定站在自己这边
53.jpg,Not-Misogyny,我真的感觉 我已经 筋疲 力尽 了
1272.jpg,Misogyny,二胎政策开放以来 周围都是这样的声音 趁我们还能帮你带，赶紧多生一个 趁年轻多生一个，老了就生不了 人生要有一儿一女才是圆满的
546.jpg,Not-Misogyny,交给我就放心吧 包搞砸的
69.jpg,Misogyny,为了催生， 长辈们经常挂在嘴边的儿句话： 生孩子有什么好怕的， 哪个女人不是这样过来的” 不生孩子的女人是不完整的” 生完了你就喜欢孩子了” 看不见的女性困境
1199.jpg,Misogyny,快去给我生孩子
508.jpg,Not-Misogyny,让我今晚拥有 婴儿般的睡眠 老天保佑
1319.jpg,Misogyny,你现在不结婚 老了怎么办 把你挖起来陪我
330.jpg,Not-Misogyny,没出息没关系 有气息就好了
1429.jpg,Not-Misogyny,我办事你就闹心吧
184.jpg,Not-Misogyny,为什么不带上人家 你们在干嘛啊
138.jpg,Misogyny,你这孩子，咋还不结婚呢？ 快点找个好人家！
900.jpg,Not-Misogyny,我的爱 收好
797.jpg,Not-Misogyny,在学了 在学了
133.jpg,Not-Misogyny,I Love 油
81.jpg,Not-Misogyny,姐姐妹妹们，留在牌桌上。@东亚女孩野生实验
1371.jpg,Not-Misogyny,我又饿了 减肥真是太难了
106.jpg,Not-Misogyny,IELTS 19 Academic Authentic PracticeTests With Audio With Answers CAMBRIDGE
1314.jpg,Not-Misogyny,有空咱们一起去吃鱼吧 看你挺会挑刺
542.jpg,Not-Misogyny,人有悲欢离合 牛马点缀生活
940.jpg,Not-Misogyny,逢考必过 你 就你！
481.jpg,Not-Misogyny,偷偷学 卷死所有人
166.jpg,Not-Misogyny,周六上班 刻骨心酸 我岂止是没气血了 我简直是快没气了
249.jpg,Misogyny,家和万事兴
308.jpg,Not-Misogyny,八方来柴 柴圆滚滚
447.jpg,Not-Misogyny,我已經不是當年的窮小子了 現在的我是今年的窮小子
951.jpg,Not-Misogyny,找工作投简历 像是奴隶给自己找个奴隶主
859.jpg,Not-Misogyny,我不会再相信爱情 但是我会
335.jpg,Not-Misogyny,整个人状态非常好
1037.jpg,Not-Misogyny,我养你啊 笨
850.jpg,Not-Misogyny,别熬夜了 实在睡不着熬锅粥拉早市去卖吧
98.jpg,Not-Misogyny,已读 不值得回
1349.jpg,Not-Misogyny,出现了、比我钱包 更干净的東西： 我的简历
1677.jpg,Not-Misogyny,好棒！ 会开电脑
738.jpg,Misogyny,老子最烦女人了
1074.jpg,Not-Misogyny,放心肯定来不及
1240.jpg,Misogyny,hello kitty 看了都想把你摁在地上打 并决定建议你先死一死 公主发出银铃般的笑声 我草 贱死了
422.jpg,Misogyny,其他人：你以后不生孩子 等你老了谁照顾你？ 我：
103.jpg,Misogyny,人善变人妻
435.jpg,Misogyny,为什么不结婚？ 我怕我自己出轨
75.jpg,Misogyny,我问姐妹为什么不生孩子 一个说宫寒 怕冻着孩子
1522.jpg,Not-Misogyny,窒息
910.jpg,Not-Misogyny,我很好
1035.jpg,Misogyny,你不结婚，我晚上都睡不着觉 睡不着不妨找个夜班上上？
229.jpg,Not-Misogyny,有惊无险 又到五点 I miss home in company 我的打工mbti是 HOME
1543.jpg,Not-Misogyny,这年头 真是什么人都有
919.jpg,Not-Misogyny,温暖的太陽、 舒爽的和風 啊啊~ 活著真是一件 美好的事情 。
303.jpg,Not-Misogyny,放假啦！放假啦！放假啦！放假啦！放假啦！放假啦！hhhhhhhhhh
1699.jpg,Misogyny,重男轻女的家庭
1425.jpg,Not-Misogyny,我的脑子它 刚刚离家出走了 芜湖
1382.jpg,Not-Misogyny,两眼一睁 干到熄灯
825.jpg,Not-Misogyny,你的戏可以像 你的钱一样少吗 你还想怎么样 我还没怪你呢
763.jpg,Not-Misogyny,人有悲欢离合 牛马点缀生活 生活
734.jpg,Not-Misogyny,要素颜哦～邪魅一笑 拍个照给姐看看
389.jpg,Not-Misogyny,这是药丸 这是牛肉丸 这是对你爱爱爱不完
236.jpg,Misogyny,妈妈说：你不结婚 我晚上都睡不着觉
1406.jpg,Not-Misogyny,在吗 人呢？ 你的宝宝回来了
1555.jpg,Misogyny,为什么不生二胎 喜欢奇数
268.jpg,Not-Misogyny,这么爱熬夜 上辈子会不会是路灯
306.jpg,Not-Misogyny,刻薄的小女孩来啦！ 就是我！
1133.jpg,Not-Misogyny,是我不对 又把你当人看了
1007.jpg,Not-Misogyny,要开心呀姐妹 财神不渡怨妇
118.jpg,Not-Misogyny,还愿意工作已经很厉害了
1441.jpg,Misogyny,我操你妈逼，傻逼，狗 逼，贱逼，逗逼
674.jpg,Not-Misogyny,人心换人心 换不了的话我换人
250.jpg,Not-Misogyny,顾的 顾的 歪瑞顾的
1234.jpg,Misogyny,你不结婚 那谁吃苦啊
1218.jpg,Not-Misogyny,这场手术需要病人在无意识的状态下进行 好吧
72.jpg,Not-Misogyny,世事在变，我说，天下不再是男孩和男人的了。 The world is no longer Boys and men's too.
95.jpg,Not-Misogyny,骄傲！
1089.jpg,Not-Misogyny,买完同款买同款 家里可以开展览
34.jpg,Misogyny,家庭绑架 表现： “你怎么还不生孩子啊” “就应该男主外，女主内” “你不需要工作，我可以养你”
800.jpg,Not-Misogyny,怎么不带男朋友回家？ 他有家 咪咪TV
1243.jpg,Misogyny,以后有钱了，三金会补给你的 涂妊娠油有什么用，我们当时不是照样过来了，瞎用东西再伤到我大孙子
1423.jpg,Not-Misogyny,当国庆节跟女友出去旅游时 等会就要检票 出去玩喽
449.jpg,Not-Misogyny,是你吧
446.jpg,Not-Misogyny,周一美式 一周没事
772.jpg,Misogyny,SB 请跟我读
717.jpg,Not-Misogyny,五彩斑切涮身上挂 晚上加班不害怕
1081.jpg,Not-Misogyny,得意 俺真厉害
1293.jpg,Not-Misogyny,蛇年大吉
1.jpg,Not-Misogyny,朋友 你的公司好眼熟 有点像我的 神仙公司十周年庆： 请霞虹花园乐队演出助兴 几素 牛马公司十周年庆： 饮水机畅饮 能给我交个社保看看吗
1394.jpg,Misogyny,女性一生要承受的语言暴力 22岁：身材这么烂还敢秀出来，脸皮真厚。 23岁：你长得这么普通，又没什么经验能干什么工作？ 24岁：活该，穿那么暴露不就死活想被摸吗！ 27岁：年纪轻轻就做了高层，肯定被潜规则啦！ 28岁：快30岁了还不嫁人，我在你这个年纪都是两个孩子的妈了！ 30岁：这把年龄还没嫁出去，不会是老处女吧！ 31岁：女人不生小孩，人生都不是完整的！
1169.jpg,Misogyny,你们这些年轻人 为什么都不愿意生孩子
78.jpg,Not-Misogyny,财源滚滚 爷 我想你了....
85.jpg,Not-Misogyny,老婆大人 为夫来了
145.jpg,Misogyny,/
83.jpg,Misogyny,我CNM 鸭
458.jpg,Not-Misogyny,用甄煨传的语气 表达 我在找工作
1101.jpg,Misogyny,劝 婚姻不幸福的人 又来劝我早点成家了
677.jpg,Not-Misogyny,你的伟大在于 成为自己
1635.jpg,Not-Misogyny,人生开挂
1233.jpg,Misogyny,女人就知道拜金
1356.jpg,Not-Misogyny,快乐时不必分心想起我 难过时请一定记得联系我
437.jpg,Not-Misogyny,那这些都是他的问题吗 有病的是他 让他明天 早点来找我
771.jpg,Not-Misogyny,我听见快乐在召唤！！
870.jpg,Not-Misogyny,没事哒，没事哒 没~事~哒！
645.jpg,Not-Misogyny,停止内耗！你是最棒的！ 先喝口淳茶舍冷萃茶RELAX一下 低温慢 沏 自然回甘 打工够苦了 冷萃茶不苦！我的打工mbt是：RELAX
863.jpg,Not-Misogyny,强
1041.jpg,Misogyny,要早生小孩 生孩子！ 还不生小孩吗？ 早生早好 生二胎 快生小孩
977.jpg,Misogyny,去你吗的
1095.jpg,Misogyny,你现在不结婚 老了怎么办 按当地习俗办
1348.jpg,Misogyny,小杂种 叫你妈逼
1266.jpg,Not-Misogyny,愿秋风 知我意 赐我十亿人民币
1008.jpg,Misogyny,不结婚不对 结婚不生孩子不对 光生男孩不对 光生女孩不对 ENEN 听我说
405.jpg,Misogyny,一个小孩太孤单了，再生一个有伴儿 我看他挺享受的
1473.jpg,Misogyny,No2 女性太感性，不适合当领导？
1108.jpg,Not-Misogyny,一眨眼就到周一了 早知道不眨眼了
1347.jpg,Misogyny,我不结 你们结 我没有爱的男人
105.jpg,Misogyny,哎呦！ 你妈逼的！ 还敢还嘴！
610.jpg,Not-Misogyny,纯牛马
1050.jpg,Not-Misogyny,我只是个小孩子 别要求这么多嘛
1135.jpg,Not-Misogyny,周一好 不好也周一了
689.jpg,Misogyny,找个有钱的老公 瘦才好看 白幼瘦 相夫教子 女人就是要会做饭 早点生孩子小南瓜大无脑 勤俭持家 染头发纹身一看就不是好女孩 女子无才便是德 理科不行 女的读这么多书有什么用 男阿姨 感性思维 穿这么性感不就是给我们看的吗 剩女 红颜祸水 月经 女孩子就要矜持 过了三十没人要 贤惠 条件差不多就行了 撒娇女人最好命 传宗接代 好嫁风
1113.jpg,Not-Misogyny,过年好！
827.jpg,Not-Misogyny,我错了 下次还敢
63.jpg,Misogyny,父母 弟 田 扶弟
853.jpg,Not-Misogyny,我不是无路可走 我还有 死路一条
1290.jpg,Not-Misogyny,不开心
224.jpg,Not-Misogyny,不下牌桌
146.jpg,Misogyny,老子最烦女人了
374.jpg,Not-Misogyny,成功女人第一步 已读不回
1465.jpg,Not-Misogyny,分来 分从四面八方来 分分分分
1551.jpg,Not-Misogyny,今天加班 虽然你上班早 但是你下班晚啊 LABOR DAY
1271.jpg,Misogyny,到什么年龄做什么事，该结婚了就要结婚 到了死的年龄 就一定要去死吗？
1365.jpg,Not-Misogyny,小狗躺了下去
1086.jpg,Not-Misogyny,好棒！ 没有旷工
10.jpg,Misogyny,真好笑 操你妈的
450.jpg,Not-Misogyny,哥哥这么久不理人家 一定很忙吧 我理解哥哥的
709.jpg,Not-Misogyny,教授： 最近essay有什么问题吗？ W 字数：0 没有问题
256.jpg,Not-Misogyny,可能是我太敏感 为难你了 总在意一些小事
883.jpg,Not-Misogyny,没事就多闻花香 比如 五花肉的香 *嗅嗅嗅
390.jpg,Not-Misogyny,就是想要贴贴嘛
909.jpg,Not-Misogyny,这是烤冷面 这是刀削面 这是你在我的心里面
925.jpg,Not-Misogyny,交论文咯～
1454.jpg,Not-Misogyny,小狗帮你测过了 菩萨会保佑你 你接下来的考试都会考神附体
1056.jpg,Misogyny,对工作选择的刻板期待 你可曾听过 对育儿和家庭角色的习惯性分配 孩子需要妈妈的陪伴，你尽量别加班了 女人带孩子最有耐心，爸爸没这个天赋 妈妈牺牲一点也值得 既然选择当了妈妈，就要以家庭为重 女生还是选个安稳点的工作，将来更好兼顾家庭 技术类岗位太辛苦，女生不太适合 工作别太拼了，女生到了一定年龄就该考虑家庭了 你工作这么拼，未来家庭和事业能平衡吗？ 看见不平等
461.jpg,Not-Misogyny,白天吃兴奋剂都兴奋不起来 晚上吃安眠药都安眠不了
1085.jpg,Not-Misogyny,只要明天要早起 晚上就进入失眠模式
959.jpg,Not-Misogyny,再也不会生产阳光了
502.jpg,Not-Misogyny,打起精神
740.jpg,Not-Misogyny,我的头好痛 可能是知识渊博 要溢出来了
1569.jpg,Not-Misogyny,请雇我工作
869.jpg,Not-Misogyny,你说天天放假多好
732.jpg,Misogyny,千万别接！！ 接了一定生男孩！！
540.jpg,Misogyny,你不结婚我晚上都睡不着觉 刚好找个夜班上
698.jpg,Not-Misogyny,我的饮食原则 想吃什么就吃什么，至于后果 以后的事情以后再说
1416.jpg,Misogyny,赶紧生个龙宝宝 已经生了猫宝宝。
1170.jpg,Not-Misogyny,在笨蛋也超级没关系 快乐的秘密！
1032.jpg,Not-Misogyny,我这个年纪 怎么会睡不着觉？
373.jpg,Misogyny,儿子 女儿
668.jpg,Misogyny,吃柠檬吧cnmb
1300.jpg,Not-Misogyny,有人说我脾气坏 好猴是另外的价钱
358.jpg,Misogyny,被物化 表现：你有素颜照吗？ 你三围是多少 你身高有165吗
968.jpg,Misogyny,窝操尼麻
784.jpg,Not-Misogyny,交给我你就操心吧 目光坚定 任务表
736.jpg,Not-Misogyny,枪枪复枪枪 枪枪何其多
1036.jpg,Misogyny,只因为我是姐姐 我就被人“嫌弃” 不然为什么大家都叫妈妈快点追生男二胎呢？ 大家是不喜欢我吗 **家生了一个儿子 趁年轻快生二胎 我有一个求子秘方
971.jpg,Not-Misogyny,无爱即是神 No love is God
1299.jpg,Not-Misogyny,陛下何错之有？
1264.jpg,Not-Misogyny,呦吼
1652.jpg,Misogyny,女性一生要承受的语言暴力 32岁： 生了小孩就该在家好好带娃，别想着出去工 作！ 33岁： 还有二胎的打算吗？我们觉得你生娃后空窗 期的这几年，与社会脱轨，无法达到我们公司的招人标准。 35岁： 男人在外赚钱，家务就该你们女人来做！ 46岁： 说够了没有，你现在跟个泼妇一样！ 48岁： 离过婚的女人都是二手货！ 55岁： 有完没完啊，我长大了不用你说，难怪你更年期！
1444.jpg,Not-Misogyny,老師您的心腹來啦
1464.jpg,Misogyny,容貌焦虑 眼睛再大一点 A4腰 九头身 再瘦一点 高颅顶 脸再小一点 头包脸 巴掌脸 大眼睛 高鼻梁 腰再细一点 直角肩 天鹅颈 白幼瘦
886.jpg,Misogyny,您都50了 怎么还没生二胎啊？
80.jpg,Misogyny,姐今天下午生了一个儿子 姐非常开心，激动
815.jpg,Not-Misogyny,真的很喜欢周五 有种刑满释放的感觉
1175.jpg,Misogyny,假猪套，我操你妈 听见没，操你妈
672.jpg,Misogyny,不结婚？你不要命啦 不结婚上哪儿受气去
1306.jpg,Not-Misogyny,我房间里的WiFi信号
58.jpg,Not-Misogyny,再催 创死
134.jpg,Not-Misogyny,终于下班了
934.jpg,Not-Misogyny,蒂
1436.jpg,Not-Misogyny,好委屈 像是买份期待已久的薯条 却被海鸥 无情叼走的委屈
824.jpg,Not-Misogyny,老鼠药
505.jpg,Not-Misogyny,找工作视力表 钱 事少 离家近 不加班 双休 不打卡 下班不联系 老板、领导人好脸 交通便利办公环境 有年终奖加班有加班费餐补 公司规模行业前景 我的人生巅峰
1510.jpg,Not-Misogyny,以后你走你的独木桥 我吃我的过桥米线
348.jpg,Misogyny,不生二胎 二胎生的不是男娃
387.jpg,Not-Misogyny,米饭帮我盛满谢
1025.jpg,Not-Misogyny,*店家推出买一送一活动 想让你找朋友或男/女 朋友一起来买 一个人爽喝两杯的我
895.jpg,Not-Misogyny,没事的 轻舟已撞大冰山
829.jpg,Misogyny,再要个二胎吧 生男秘方
1604.jpg,Misogyny,辣么凶干嘛 有话 好好说 操你妈的
476.jpg,Misogyny,我也不是逼你，我确实喜欢孩子 去当月嫂，又有 孩子，还有钱
1250.jpg,Misogyny,这是我的理想身材 天鹅颈 直角肩 蝴蝶背 蜜桃臀 A4腰 筷子腿 理想身材模版 但这不是我的身体
1188.jpg,Not-Misogyny,社会上的边角料 妈妈眼里的小骄傲
653.jpg,Misogyny,以前的女生 女子无才便是德 早点嫁人
173.jpg,Not-Misogyny,你就为了这件事把我们叫出来？
39.jpg,Not-Misogyny,三十岁中年人 的疲惫
